InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
71239553,72534930,Discuss Gift,2,2022-12-15 14:47:38,33.71,498557533,United Kingdom
40721304,59281346,Floor Gift,1,2023-02-01 14:28:53,41.52,205793305,United Kingdom
23517281,79748443,Explain Gift,18,2023-04-19 08:09:16,53.23,201813329,United Kingdom
29708180,43441120,May Gift,9,2023-03-03 23:21:03,1.4,415179700,United Kingdom
80918602,29766486,Pattern Gift,18,2022-12-04 17:42:29,0.99,377136798,Germany
68882507,11162398,Both Gift,6,2022-12-11 14:12:30,62.72,545595349,United Kingdom
18524601,56043181,Think Gift,15,2023-04-26 16:11:56,22.25,722801251,United Kingdom
82762542,66958025,Old Gift,18,2023-03-23 23:39:32,55.51,996062601,United Kingdom
C68728450,75216527,Whole Gift,6,2023-04-01 07:47:52,62.82,515159335,United Kingdom
79944362,52801380,Ground Gift,17,2023-03-17 07:14:41,84.65,688972823,United Kingdom
37973513,14930298,Win Gift,13,2022-12-06 13:33:24,76.53,483438705,United Kingdom
93602538,74075462,Prevent Gift,13,2023-01-07 03:41:13,97.26,682153843,United Kingdom
C57244340,63198462,Always Gift,5,2023-01-27 10:58:09,7.99,478912807,United Kingdom
83459094,62346716,Education Gift,12,2023-04-07 23:02:16,38.68,655209744,United Kingdom
55067442,62872536,Book Gift,16,2023-06-25 15:49:11,73.15,496281070,United Kingdom
71834763,16485379,Family Gift,18,2023-03-05 08:41:34,35.13,101018341,United Kingdom
68758207,34522882,Song Gift,16,2023-02-20 23:43:59,25.98,113393405,United Kingdom
75385390,93754635,Attorney Gift,18,2023-03-06 07:11:51,98.42,491464763,United Kingdom
57778301,69757168,With Gift,11,2023-06-25 00:25:43,7.19,332951261,United Kingdom
10400329,14399514,Work Gift,20,2023-05-05 11:31:53,52.54,892929870,United Kingdom
74743532,14609064,Special Gift,1,2023-05-17 06:59:49,42.89,683712792,United Kingdom
99382855,46115216,Song Gift,19,2022-12-15 13:22:12,41.24,487978403,United Kingdom
58817199,43745028,Tend Gift,11,2023-03-22 05:07:38,84.84,500260289,United Kingdom
92840294,96239916,Method Gift,11,2023-03-12 04:33:05,71.76,953466318,United Kingdom
88865443,98415693,Modern Gift,14,2023-04-30 05:31:22,62.47,651166180,United Kingdom
81585106,65779535,Industry Gift,5,2023-03-08 09:21:42,44.95,336201681,United Kingdom
86829220,63294612,West Gift,3,2023-01-25 14:54:27,14.65,785244637,United Kingdom
77311709,12404840,Paper Gift,13,2023-02-17 14:28:05,95.54,146021096,United Kingdom
47248243,28387168,Stock Gift,17,2022-12-07 00:04:17,80.25,795077684,United Kingdom
C56025077,82656067,Message Gift,17,2023-06-12 05:25:46,74.37,638220237,United Kingdom
34308250,58460631,But Gift,18,2023-03-10 04:56:09,95.92,652801238,United Kingdom
97345162,68799738,Fly Gift,19,2023-04-26 13:23:39,58.1,977414078,United Kingdom
66624012,72479726,Administration Gift,19,2022-12-05 14:40:25,42.53,916993620,United Kingdom
96188502,55203277,Every Gift,15,2023-03-31 05:19:23,5.88,607188338,United Kingdom
26603825,82822030,Direction Gift,1,2023-01-18 16:05:27,77.63,828039730,United Kingdom
85246577,36136470,Choose Gift,14,2023-03-13 15:12:26,91.54,227200649,United Kingdom
94901708,90997248,Seem Gift,10,2023-04-01 19:43:22,49.29,366856930,United Kingdom
57774093,87795328,Stay Gift,18,2023-02-06 23:56:02,33.09,337871169,United Kingdom
85305525,76054225,Million Gift,13,2022-12-04 18:28:38,41.51,688996371,United Kingdom
85653105,69782798,Official Gift,10,2023-06-01 00:14:04,24.77,584359616,United Kingdom
59115243,11920886,Piece Gift,2,2023-05-20 07:03:19,59.67,749169172,United Kingdom
20766126,64826120,Organization Gift,2,2023-03-17 17:12:01,27.6,377136798,United Kingdom
10085521,71382752,Decade Gift,19,2023-05-11 17:35:37,13.46,243907739,United Kingdom
81769349,95188348,Four Gift,5,2022-12-23 18:44:36,34.94,773301262,United Kingdom
51461711,87098013,Pass Gift,2,2023-05-16 16:57:37,5.6,476771110,United Kingdom
93667395,22810020,Some Gift,16,2023-05-28 11:31:10,52.6,951758659,United Kingdom
65288294,92197514,Treat Gift,2,2023-04-20 23:41:41,95.92,894263518,United Kingdom
58174413,27597404,For Gift,20,2023-05-18 07:20:43,40.84,966199659,United Kingdom
61935917,47497742,Entire Gift,6,2023-06-17 17:56:04,41.36,738668212,United Kingdom
83689904,49997532,Certainly Gift,20,2023-05-25 10:11:31,38.39,358424152,United Kingdom
40669081,58802010,Now Gift,15,2023-01-25 04:48:45,72.18,471244201,United Kingdom
24636465,83266886,Both Gift,9,2023-03-10 22:57:40,21.95,788450306,United Kingdom
27236527,81008856,Yeah Gift,20,2023-01-03 19:05:55,67.63,778182338,United Kingdom
95525365,37224520,Visit Gift,16,2023-01-07 02:16:09,4.52,482991019,United Kingdom
32555982,77067139,Above Gift,5,2023-06-09 21:59:24,12.28,323614340,United Kingdom
10819862,27463169,Customer Gift,6,2023-01-16 15:39:56,95.23,249525621,United Kingdom
44872557,67149958,Get Gift,9,2022-12-12 14:11:04,62.23,527118907,United Kingdom
76507728,91717425,Environmental Gift,6,2023-04-27 01:24:55,86.79,801258164,United Kingdom
93230981,71382752,Decade Gift,3,2023-04-14 13:20:33,7.48,347523580,United Kingdom
94114140,53746619,Purpose Gift,5,2022-12-31 08:18:48,61.82,777870943,United Kingdom
76895538,77938268,Small Gift,14,2023-04-09 00:53:49,15.97,357040801,United Kingdom
31406911,60525719,Million Gift,18,2023-04-14 02:21:30,89.85,450534564,United Kingdom
35026853,50223235,Personal Gift,6,2023-02-24 23:18:32,29.89,833544018,United Kingdom
73338977,93048375,Office Gift,17,2022-12-25 13:57:43,62.56,569932676,United Kingdom
15550667,96839147,Keep Gift,6,2023-06-16 04:12:05,43.92,305262164,United Kingdom
52548158,58823227,Difference Gift,18,2023-02-02 23:07:41,26.71,899482469,United Kingdom
20840094,82213766,Medical Gift,20,2023-04-15 18:24:40,54.32,839940979,United Kingdom
30906615,36110458,Visit Gift,4,2023-04-15 11:26:17,99.41,683634596,United Kingdom
64353535,86599341,Response Gift,1,2023-01-15 23:16:45,41.56,332486142,United Kingdom
17230395,20305829,Staff Gift,2,2022-12-17 01:35:30,91.41,447051534,United Kingdom
69692574,26869779,Speak Gift,9,2023-01-02 11:34:10,74.08,463915431,United Kingdom
37349799,82780565,Agreement Gift,12,2023-02-27 09:04:32,76.91,343239245,United Kingdom
17100121,17528384,List Gift,14,2023-06-21 00:59:22,15.98,137850804,United Kingdom
74812104,72763918,Talk Gift,1,2023-06-15 06:11:05,55.49,334062676,United Kingdom
97407298,67149958,Get Gift,18,2023-04-30 16:54:21,92.51,950636985,United Kingdom
66289883,39269409,Peace Gift,13,2023-04-18 05:45:32,33.3,846040765,United Kingdom
87559226,98156505,By Gift,1,2023-02-28 12:41:48,55.8,431329527,United Kingdom
15441300,74990333,Car Gift,4,2023-04-11 15:29:51,87.79,129084982,United Kingdom
93482046,65484241,Medical Gift,20,2023-03-26 05:19:58,75.01,187288425,United Kingdom
29034876,89617542,Point Gift,13,2023-06-02 13:01:33,39.36,313849513,United Kingdom
85015363,18385986,Special Gift,13,2023-02-15 11:17:09,22.94,697374992,United Kingdom
60052195,15740983,Will Gift,20,2023-01-29 11:49:28,75.9,879008934,United Kingdom
55663353,63533188,Particularly Gift,19,2023-04-08 10:37:43,16.89,257414994,United Kingdom
38830097,20127356,Feel Gift,4,2023-01-13 05:21:40,68.6,402325821,United Kingdom
68222644,33050828,Material Gift,2,2023-02-25 09:28:41,10.76,700617313,United Kingdom
75420833,53165878,Prove Gift,15,2022-12-24 12:06:59,54.38,293096143,United Kingdom
53674705,78083035,Defense Gift,3,2023-04-23 18:23:20,52.6,353436715,United Kingdom
68765954,23554179,Per Gift,14,2023-01-18 11:07:47,75.21,572379555,United Kingdom
30449146,10839144,Type Gift,17,2023-02-13 09:51:29,66.38,935985421,United Kingdom
57965691,59504044,Reality Gift,11,2023-05-28 15:09:27,39.73,940049879,United Kingdom
96425206,47758713,From Gift,10,2023-02-01 21:28:53,68.49,614111512,United Kingdom
19015633,85835648,Window Gift,17,2023-03-27 05:27:24,30.28,482266913,United Kingdom
20193610,83521115,Note Gift,2,2023-01-31 19:28:38,5.91,189134114,United Kingdom
14991800,53341708,Through Gift,6,2023-05-10 04:37:15,58.32,143118149,United Kingdom
76312164,29184803,Decide Gift,6,2023-05-27 00:43:38,92.22,328142549,United Kingdom
82914291,68722501,Grow Gift,3,2023-01-11 14:45:08,72.22,394426791,United Kingdom
60245107,78025106,Behind Gift,17,2022-12-23 15:11:33,89.74,411614081,United Kingdom
86578361,95390920,Thus Gift,8,2023-01-08 19:42:01,47.03,317271179,United Kingdom
85089081,24321359,Agreement Gift,10,2023-06-26 12:30:03,87.95,865238790,United Kingdom
14598139,18882974,Different Gift,13,2023-06-02 07:51:40,83.98,355426385,United Kingdom
12824928,11090560,Those Gift,4,2022-12-19 20:08:07,74.08,579287270,United Kingdom
92795126,63820873,Perform Gift,11,2023-05-22 12:49:04,84.72,536762936,United Kingdom
14167681,62334818,Center Gift,9,2023-05-14 11:14:39,46.66,120342252,United Kingdom
62214189,35117317,Physical Gift,5,2023-06-18 13:26:09,44.72,219241275,United Kingdom
33923327,13167875,Quickly Gift,20,2023-06-13 09:58:51,19.18,421559192,United Kingdom
60802057,49719996,Few Gift,9,2023-01-20 17:26:44,6.56,628230903,United Kingdom
25488111,59480812,Away Gift,16,2023-05-23 00:54:32,47.26,771096843,United Kingdom
99369539,44243268,Because Gift,15,2023-06-17 04:32:37,72.61,704478248,United Kingdom
41719411,25738642,Both Gift,11,2023-04-25 21:32:16,41.6,237115954,United Kingdom
16152295,85829340,Discussion Gift,4,2023-05-27 22:37:30,13.89,631709193,United Kingdom
21161322,28977462,My Gift,14,2023-01-26 14:18:17,74.68,866997946,United Kingdom
99985915,69110974,Yourself Gift,12,2023-05-29 03:16:09,41.33,297636168,United Kingdom
83825792,25430906,Section Gift,8,2023-03-27 00:45:51,67.74,589203647,United Kingdom
29190622,73985132,Sing Gift,4,2023-04-03 03:40:31,66.96,197290339,United Kingdom
92320214,82822030,Direction Gift,4,2023-06-24 12:25:06,88.94,502175897,United Kingdom
22716489,70023499,Player Gift,3,2023-06-01 23:05:14,51.41,589203647,United Kingdom
25493207,39124906,More Gift,14,2023-03-19 07:38:51,48.61,771094667,United Kingdom
30299070,38197560,Prove Gift,13,2023-01-03 03:06:53,21.48,744218067,United Kingdom
65097909,39540315,Level Gift,19,2023-02-05 02:25:26,32.24,330254969,United Kingdom
45777852,71922683,Can Gift,1,2023-05-14 04:49:47,34.12,148326095,United Kingdom
44944838,72161955,Meeting Gift,6,2023-01-30 02:25:28,3.21,925444008,United Kingdom
C43435935,72161955,Meeting Gift,10,2022-12-04 06:39:14,36.75,447314036,United Kingdom
36461529,14943164,Letter Gift,3,2023-01-06 06:09:40,24.17,219063649,United Kingdom
37921379,29805741,Five Gift,1,2022-12-10 03:23:15,93.73,234199703,United Kingdom
74636100,12346232,Three Gift,20,2023-03-03 03:11:33,87.6,700169214,United Kingdom
15874085,67764508,Decade Gift,18,2023-05-29 02:00:22,46.7,433054409,United Kingdom
47397515,14534681,Every Gift,7,2023-01-24 16:56:49,93.05,464328783,United Kingdom
59224165,49611824,Finish Gift,8,2023-01-07 13:13:09,50.94,500190292,United Kingdom
34462336,81194228,Edge Gift,13,2022-12-03 10:04:03,2.08,452312194,United Kingdom
32561973,23404925,Teacher Gift,11,2023-05-17 23:35:40,18.82,590739093,United Kingdom
18948425,53179079,Certainly Gift,2,2023-04-24 23:40:05,28.59,931295430,United Kingdom
83153989,42968022,Girl Gift,4,2023-06-17 18:23:56,95.81,540865625,United Kingdom
40878681,59981071,Just Gift,18,2023-04-06 14:37:47,56.33,398574607,United Kingdom
82952182,36256601,Contain Gift,20,2023-06-19 12:47:36,45.54,881093792,United Kingdom
30756765,46163535,Difference Gift,1,2023-02-06 08:36:50,67.01,465362108,United Kingdom
58744895,39089775,Fire Gift,8,2023-02-03 22:47:52,25.29,584231086,United Kingdom
70722384,35702773,Almost Gift,18,2023-01-16 09:30:42,57.61,123894088,United Kingdom
37707250,94016752,However Gift,19,2023-01-15 01:59:26,14.43,676550109,United Kingdom
71242069,20573423,Eight Gift,19,2022-12-14 19:17:50,78.52,483249940,United Kingdom
75784880,33727517,Factor Gift,19,2022-12-04 18:57:05,70.97,101488876,United Kingdom
29676815,39861001,Contain Gift,14,2023-02-06 22:10:45,84.95,793682868,United Kingdom
63369525,82822030,Direction Gift,9,2023-01-03 11:04:58,47.81,203989904,United Kingdom
81138736,77945533,Attack Gift,10,2023-02-28 03:13:49,39.57,249560946,United Kingdom
79593175,23217577,Claim Gift,18,2022-12-05 11:56:07,52.68,303279449,United Kingdom
29887877,37644253,Tv Gift,9,2023-01-28 08:16:51,10.96,398083623,United Kingdom
17871412,73585351,Reveal Gift,11,2023-06-24 17:58:57,46.76,413832125,United Kingdom
24953538,41616686,Media Gift,3,2023-05-06 16:32:26,80.41,333500746,United Kingdom
41503357,22562426,Detail Gift,2,2023-04-08 09:39:22,17.04,814893751,United Kingdom
45941336,76969121,Address Gift,16,2023-05-28 03:04:25,66.42,731829856,United Kingdom
62092843,72944914,Big Gift,4,2023-05-15 17:32:07,80.21,458868658,United Kingdom
75222939,44119220,Pass Gift,7,2023-06-10 16:00:00,76.26,625348198,United Kingdom
87822727,32608827,Ago Gift,9,2023-05-10 06:01:30,46.56,143636471,United Kingdom
75364677,45310786,Who Gift,16,2023-01-20 09:41:56,75.79,115017953,United Kingdom
20823053,65937393,Tell Gift,4,2022-12-22 22:59:58,64.53,921953235,Germany
73897983,20127356,Feel Gift,8,2023-05-27 09:43:03,20.68,242144507,United Kingdom
52113021,55554293,Have Gift,20,2023-04-28 20:54:10,85.87,936787904,United Kingdom
28087991,83972053,Together Gift,14,2023-04-04 19:51:15,99.01,591648659,United Kingdom
27242606,10997379,Be Gift,14,2022-12-27 23:08:34,54.32,729360952,United Kingdom
69038618,19528519,Oil Gift,8,2023-03-20 23:05:51,94.38,249560946,United Kingdom
38493527,93365476,Almost Gift,2,2022-12-29 17:02:26,89.66,180303666,United Kingdom
95513081,97443169,Nation Gift,12,2023-06-02 07:13:27,37.85,312663707,United Kingdom
C56553968,68149117,Yard Gift,5,2023-02-04 02:31:32,18.6,980110583,United Kingdom
62073220,26807456,Site Gift,16,2023-01-13 19:52:33,2.44,467619461,United Kingdom
30333857,99075979,Seem Gift,15,2022-12-08 18:44:53,55.75,997129629,Germany
13482482,28914795,Friend Gift,20,2022-12-24 12:15:03,96.41,408638463,United Kingdom
71081909,84573380,Security Gift,5,2023-06-19 03:29:48,81.78,852606372,United Kingdom
33450787,67320186,Collection Gift,2,2023-01-25 02:57:12,81.67,487333859,United Kingdom
61182356,90599470,Audience Gift,15,2023-02-05 04:36:52,65.77,459502446,United Kingdom
37005479,35659667,Kind Gift,20,2023-05-25 04:20:16,16.03,558631060,United Kingdom
93003573,26114440,Dream Gift,9,2023-01-26 17:53:55,27.65,223434098,United Kingdom
C37293865,30761447,Production Gift,5,2023-01-05 12:53:03,17.04,775823864,United Kingdom
82367552,25402643,Political Gift,1,2022-12-06 09:55:52,39.03,203082072,United Kingdom
99845709,61821836,Carry Gift,17,2023-05-26 19:01:27,51.95,287738759,United Kingdom
25344544,38538225,Likely Gift,1,2023-04-14 02:16:29,18.73,766734447,United Kingdom
20612980,14934259,Program Gift,8,2023-05-15 16:39:11,38.52,362517446,United Kingdom
83120478,82075518,Dream Gift,7,2023-03-06 03:38:18,3.57,990879298,United Kingdom
45412971,57404508,Season Gift,4,2022-12-31 04:14:01,14.69,308950227,United Kingdom
88700019,67878717,Break Gift,9,2023-03-10 06:11:16,96.39,710570562,United Kingdom
54749529,46230647,Check Gift,17,2023-05-07 00:29:04,60.32,295304301,United Kingdom
68766504,48397213,Also Gift,15,2023-05-30 09:33:59,92.87,326709049,United Kingdom
14417265,35749658,Rather Gift,12,2023-01-02 10:49:50,30.67,421559192,United Kingdom
17372889,56891939,Do Gift,13,2022-12-10 12:33:47,55.92,295294496,United Kingdom
17394545,81148996,Poor Gift,14,2022-12-07 10:57:13,14.5,977556676,United Kingdom
74643812,44420886,Protect Gift,18,2022-12-27 09:25:23,34.16,682397619,United Kingdom
69370759,75652001,Office Gift,14,2023-06-24 20:59:22,45.42,226613418,United Kingdom
16650646,69341365,Practice Gift,1,2022-12-04 15:26:02,56.85,717351321,United Kingdom
49020205,77400962,Both Gift,17,2023-04-17 02:30:36,82.51,962796407,United Kingdom
96173868,82326756,Operation Gift,5,2023-02-10 15:41:04,16.07,704992217,United Kingdom
12871835,82213100,Table Gift,5,2023-01-18 17:56:21,83.7,631764955,United Kingdom
71225769,57247724,Top Gift,4,2023-06-13 23:19:30,58.88,315524317,United Kingdom
56389916,43665825,Almost Gift,5,2023-03-05 03:22:47,61.72,811027051,United Kingdom
50137344,66528467,Discuss Gift,4,2023-01-22 15:32:57,57.19,439159351,United Kingdom
19009189,45562878,Wear Gift,9,2023-04-12 01:06:55,39.8,939196081,United Kingdom
90037755,87039278,Game Gift,6,2023-02-06 20:09:40,45.23,716022756,United Kingdom
46917379,98855536,Available Gift,9,2023-02-20 05:21:45,59.57,743837567,United Kingdom
14270529,28193831,Policy Gift,8,2023-03-23 06:21:18,48.85,118508902,United Kingdom
C93065758,91006885,See Gift,20,2023-05-24 02:20:46,5.17,133699651,United Kingdom
34562617,18177296,Three Gift,19,2023-01-30 08:02:16,45.53,435656064,United Kingdom
97424790,12077414,Own Gift,20,2023-06-03 03:19:30,28.16,492812296,United Kingdom
98457687,87826794,Affect Gift,7,2023-06-04 16:04:13,50.76,161696721,United Kingdom
59993970,53179079,Certainly Gift,4,2022-12-07 08:41:27,21.01,129084982,United Kingdom
72576649,36227756,Hit Gift,14,2023-06-04 04:59:17,89.93,425957698,United Kingdom
68535002,10242601,Senior Gift,9,2023-03-11 15:19:42,65.82,699349941,USA
46813555,10928803,Piece Gift,10,2022-12-07 10:58:33,38.22,485120037,United Kingdom
54773924,11110343,Chair Gift,1,2023-04-07 00:43:28,84.62,856597654,United Kingdom
14548158,69816352,Moment Gift,5,2022-12-09 17:55:07,64.97,879230331,United Kingdom
16210542,32030676,Throughout Gift,1,2023-05-05 00:13:46,40.21,891131194,United Kingdom
76714396,95311851,Modern Gift,20,2023-04-29 09:30:00,21.38,889373241,United Kingdom
13318861,50375753,Safe Gift,5,2023-03-27 03:06:10,10.14,343239245,United Kingdom
86872802,69110290,Focus Gift,11,2023-03-12 06:50:52,96.1,983825981,United Kingdom
26416690,30160358,Either Gift,9,2023-03-19 22:38:37,59.38,721461870,United Kingdom
47310615,63418486,Media Gift,13,2023-01-25 03:17:12,22.83,220795049,United Kingdom
99927392,57611947,Interview Gift,12,2023-03-26 10:36:23,63.51,266636042,United Kingdom
81295308,11162398,Both Gift,16,2023-01-17 17:21:04,19.1,984333286,United Kingdom
64455325,35862507,Tv Gift,6,2023-06-23 00:06:46,74.18,433973292,United Kingdom
11889786,18385986,Special Gift,3,2023-05-26 19:43:32,34.39,664724292,United Kingdom
69144930,80633287,Local Gift,7,2023-02-23 12:34:31,54.39,559739061,United Kingdom
30991400,32162465,Create Gift,10,2023-02-09 07:17:04,55.91,512279804,United Kingdom
98358411,17644689,Three Gift,2,2023-02-03 00:08:32,97.74,310652634,United Kingdom
41166888,89331396,Firm Gift,12,2023-03-18 05:59:10,37.26,217574679,United Kingdom
79003966,18417844,Who Gift,4,2023-02-06 13:22:36,89.69,329129077,United Kingdom
31672572,51684515,Analysis Gift,15,2023-05-22 03:58:13,82.35,699121451,United Kingdom
84979412,55927040,Account Gift,11,2023-02-21 16:18:24,39.38,609188719,United Kingdom
75339050,42547422,Exactly Gift,15,2023-04-03 05:00:51,19.08,483814791,United Kingdom
45869460,50819790,Establish Gift,20,2022-12-03 06:04:25,22.47,772492132,United Kingdom
58766972,35500931,Rest Gift,13,2023-03-04 10:21:20,99.59,373609059,United Kingdom
33028132,89617339,Explain Gift,4,2023-06-16 08:49:24,69.69,882386838,United Kingdom
33932526,68722501,Grow Gift,7,2023-05-15 05:55:40,89.1,966154155,United Kingdom
75589742,84709174,Tend Gift,16,2022-12-03 03:30:52,66.83,510599227,United Kingdom
C79807764,88118558,Allow Gift,13,2023-05-08 23:26:32,26.22,626857089,United Kingdom
23143453,64861809,Technology Gift,20,2023-06-14 08:47:43,48.86,661832228,United Kingdom
26213846,55226621,Weight Gift,11,2023-05-20 22:19:34,15.34,158176628,United Kingdom
92733031,72247225,Level Gift,15,2023-01-03 20:58:50,19.84,929859055,Netherlands
29840690,11791963,Design Gift,9,2023-05-21 14:41:00,55.78,729360952,United Kingdom
69885829,16313132,Pull Gift,15,2023-04-26 17:10:42,67.45,220795049,United Kingdom
90979293,88839149,Either Gift,11,2023-05-27 22:42:46,1.35,762373010,United Kingdom
77212530,13438117,Cup Gift,18,2022-12-12 12:38:39,80.19,753779942,United Kingdom
98403466,11090560,Those Gift,9,2023-06-12 13:11:36,79.06,964899838,United Kingdom
84500841,88646986,Rock Gift,18,2023-05-20 14:06:01,59.74,681657022,United Kingdom
C45758597,65295603,Recent Gift,8,2023-01-29 01:25:13,19.58,394340496,United Kingdom
22885474,46638840,Dog Gift,19,2023-03-29 18:21:34,18.71,726081527,United Kingdom
86813923,20288801,Certain Gift,14,2023-01-28 14:47:41,42.0,312535821,United Kingdom
62290474,38101760,Less Gift,6,2023-05-13 10:15:02,14.75,667000861,United Kingdom
52098655,47939717,Positive Gift,5,2023-05-07 08:28:30,94.39,874894800,United Kingdom
58691510,30761447,Production Gift,4,2023-03-22 09:22:45,31.62,560894778,United Kingdom
73558459,90567195,Too Gift,20,2022-12-11 00:17:48,29.88,960585441,United Kingdom
32333714,29074510,Between Gift,3,2023-02-03 05:04:34,40.77,645955103,United Kingdom
92785085,15191808,Forward Gift,16,2023-01-30 15:02:31,98.26,998846157,United Kingdom
42654842,24056725,Still Gift,12,2023-03-08 12:45:19,62.84,802757562,United Kingdom
33194569,15618674,Population Gift,15,2023-03-14 20:28:55,98.51,523738732,United Kingdom
64916737,18791966,Right Gift,15,2023-01-26 18:03:12,47.19,904337567,United Kingdom
33975590,57972649,Home Gift,18,2023-02-05 12:34:21,48.75,872164495,United Kingdom
71427127,95390920,Thus Gift,5,2023-01-27 11:23:22,65.86,199593714,United Kingdom
91972617,80528711,Food Gift,9,2022-12-23 05:43:25,77.05,182102147,United Kingdom
57218882,84356474,Know Gift,2,2023-06-06 20:44:35,74.93,900246049,United Kingdom
11326661,42720653,Issue Gift,14,2023-01-31 15:03:56,6.42,987141610,United Kingdom
55128502,76069442,Sport Gift,3,2023-04-03 08:40:29,23.81,234070538,United Kingdom
56003202,89312393,Course Gift,20,2023-04-08 18:49:56,45.37,113694646,United Kingdom
30805895,15400418,Tv Gift,12,2023-03-30 14:25:20,78.47,506804961,United Kingdom
